"Plot.ID","Experiment","Plant.ID","Plant.Num","Comments","Source.Stock","Field","Pedigree","Plot.Name","Row","Range","Plot","Block","Rep"
"24GT1004","24GT","24GT1004_007",NA,"SILK INOC","19MOB_960","CFAR600","Z031E0054","Z031E0054",54,5,"Z031E0054",1,1
"24GT1004","24GT","24GT1004_008",NA,"SILK INOC","19MOB_960","CFAR600","Z031E0054","Z031E0054",54,5,"Z031E0054",1,1
"24GT1004","24GT","24GT1004_009",NA,"SILK INOC","19MOB_960","CFAR600","Z031E0054","Z031E0054",54,5,"Z031E0054",1,1
"24GT1004","24GT","24GT1004_010",NA,"SILK INOC","19MOB_960","CFAR600","Z031E0054","Z031E0054",54,5,"Z031E0054",1,1
"24GT1005","24GT","24GT1005_001",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_002",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_003",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_004",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_005",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_006",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_007",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_008",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
"24GT1005","24GT","24GT1005_009",NA,"SILK INOC","19MOB_949","CFAR600","Z031E0526","Z031E0526",55,5,"Z031E0526",1,1
