Plot.ID,Stand.Count,Experiment.Name,Comments
24GD1159,10,24GD,GER DRIL72
24GD1160,10,24GD,GER DRIL72
24GD1161,10,24GD,GER DRIL72
24GD1162,10,24GD,GER DRIL72
24GD1163,10,24GD,GER DRIL72
24GD1164,10,24GD,GER DRIL72
24GD1165,10,24GD,GER DRIL72
24GD1166,10,24GD,GER DRIL72
24GD1167,10,24GD,GER DRIL72
24GD1168,10,24GD,GER DRIL72
24GD1169,10,24GD,GER DRIL72
24GD1170,10,24GD,GER DRIL72
24GD1171,10,24GD,GER DRIL72
24GD1172,10,24GD,GER DRIL72
24GD1173,10,24GD,GER DRIL72
24GD1174,10,24GD,GER DRIL72
24GD1175,10,24GD,GER DRIL72
24GD1176,10,24GD,GER DRIL72
24GD1177,10,24GD,GER DRIL72
24GD1178,10,24GD,GER DRIL72
24GD1179,10,24GD,GER DRIL72
24GD1180,10,24GD,GER DRIL72
24GD1181,10,24GD,GER DRIL72
24GD1182,10,24GD,GER DRIL72
24GD1183,10,24GD,GER DRIL72
24GD1184,10,24GD,GER DRIL72
24GD1185,10,24GD,GER DRIL72
24GD1186,10,24GD,GER DRIL72
24GD1187,10,24GD,GER DRIL72
24GD1188,10,24GD,GER DRIL72
24GD1189,10,24GD,GER DRIL72
24GD1190,10,24GD,GER DRIL72
24GD1191,10,24GD,GER DRIL72
24GD1192,10,24GD,GER DRIL72
24GD1193,10,24GD,GER DRIL72
24GD1194,10,24GD,GER DRIL72
24GD1195,10,24GD,GER DRIL72
24GD1196,10,24GD,GER DRIL72
24GD1197,10,24GD,GER DRIL72
24GD1198,10,24GD,GER DRIL72
24GD1199,10,24GD,GER DRIL72
24GD1200,10,24GD,GER DRIL72
24GD1201,10,24GD,GER DRIL72
24GD1202,10,24GD,GER DRIL72
24GD1203,10,24GD,GER DRIL72
24GD1204,10,24GD,GER DRIL72
24GD1205,10,24GD,GER DRIL72
24GD1206,10,24GD,GER DRIL72
24GD1207,10,24GD,GER DRIL72
24GD1208,10,24GD,GER DRIL72
24GD1209,10,24GD,GER DRIL72
24GD1210,10,24GD,GER DRIL72
